,index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
0,0,League,Brendon McCullum,Bengaluru,KKR,RCB,Royal Challengers Bangalore,field,KKR,140,runs,222,2008,"['1st', 'match']"
1,1,League,Michael Hussey,Mohali,CSK,KXIP,Chennai Super Kings,bat,CSK,33,runs,240,2008,"['2nd', 'match']"
2,2,League,Farveez Maharoof,Delhi,RR,DC,Rajasthan Royals,bat,Daredevils,9,wicket,129,2008,"['3rd', 'match']"
3,3,League,David Hussey,Eden Gardens,DCH,KKR,Deccan Chargers,bat,KKR,5,wicket,110,2008,"['4th', 'match']"
4,4,League,Mark Boucher,Wankhede,MI,RCB,Mumbai Indians,bat,RCB,5,wicket,165,2008,"['5th', 'match']"
5,5,League,Shane Watson,Jaipur,KXIP,RR,Kings XI Punjab,bat,RR,6,wicket,166,2008,"['6th', 'match']"
6,6,League,Virender Sehwag,Hyderabad,DCH,DC,Deccan Chargers,bat,Daredevils,9,wicket,142,2008,"['7th', 'match']"
7,7,League,Matthew Hayden,Chennai,CSK,MI,Mumbai Indians,field,CSK,6,runs,208,2008,"['8th', 'match']"
8,8,League,Yusuf Pathan,Hyderabad,DCH,RR,Rajasthan Royals,field,RR,3,wicket,214,2008,"['9th', 'match']"
9,9,League,Kumar Sangakkara,Mohali,KXIP,MI,Mumbai Indians,field,Kings,66,runs,182,2008,"['10th', 'match']"
10,10,League,Jacob Oram,Chennai,KKR,CSK,Kolkata Knight Riders,bat,CSK,9,wicket,147,2008,"['11th', 'match']"
11,11,League,Shane Watson,Bengaluru,RCB,RR,Rajasthan Royals,field,RR,7,wicket,135,2008,"['12th', 'match']"
12,12,League,Simon Katich,Mohali,DC,KXIP,Delhi Daredevils,bat,Kings,4,wicket,158,2008,"['13th', 'match']"
13,13,League,Adam Gilchrist,DY Patil,MI,DCH,Deccan Chargers,field,Chargers,10,wicket,154,2008,"['14th', 'match']"
14,14,League,MS Dhoni,Bengaluru,CSK,RCB,Chennai Super Kings,bat,CSK,13,runs,178,2008,"['15th', 'match']"
15,15,League,Sanath Jayasuriya,Eden Gardens,KKR,MI,Kolkata Knight Riders,bat,MI,7,wicket,137,2008,"['16th', 'match']"
16,16,League,Glenn McGrath,Delhi,DC,RCB,Royal Challengers Bangalore,field,Daredevils,10,runs,191,2008,"['17th', 'match']"
17,17,League,Swapnil Asnodkar,Jaipur,RR,KKR,Rajasthan Royals,bat,RR,45,runs,196,2008,"['18th', 'match']"
18,18,League,Shaun Marsh,Hyderabad,DCH,KXIP,Kings XI Punjab,field,Kings,7,wicket,164,2008,"['19th', 'match']"
19,19,League,Virender Sehwag,Chennai,CSK,DC,Chennai Super Kings,bat,Daredevils,8,wicket,169,2008,"['20th', 'match']"
20,20,League,Praveen Kumar,Bengaluru,RCB,DCH,Deccan Chargers,field,RCB,3,runs,156,2008,"['21st', 'match']"
21,21,League,Irfan Pathan,Mohali,KXIP,KKR,Kings XI Punjab,bat,Kings,9,runs,178,2008,"['22nd', 'match']"
22,22,League,Shaun Pollock,DY Patil,MI,DC,Delhi Daredevils,field,MI,29,runs,162,2008,"['23rd', 'match']"
23,23,League,Sohail Tanvir,Jaipur,CSK,RR,Chennai Super Kings,bat,RR,8,wicket,109,2008,"['24th', 'match']"
24,24,League,Sreesanth,Bengaluru,RCB,KXIP,Kings XI Punjab,field,Kings,6,wicket,126,2008,"['25th', 'match']"
25,25,League,Adam Gilchrist,Chennai,CSK,DCH,Deccan Chargers,field,Chargers,7,wicket,144,2008,"['26th', 'match']"
26,26,League,Ashish Nehra,DY Patil,RR,MI,Mumbai Indians,field,MI,7,wicket,103,2008,"['27th', 'match']"
27,27,League,MS Dhoni,Delhi,DC,CSK,Chennai Super Kings,field,CSK,4,wicket,187,2008,"['28th', 'match']"
28,28,League,Sourav Ganguly,Eden Gardens,KKR,RCB,Kolkata Knight Riders,bat,KKR,5,runs,129,2008,"['29th', 'match']"
29,29,League,Yusuf Pathan,Jaipur,DCH,RR,Rajasthan Royals,field,RR,8,wicket,140,2008,"['30th', 'match']"
30,30,League,Lakshmipathy Balaji,Chennai,CSK,KXIP,Kings XI Punjab,field,CSK,18,runs,181,2008,"['31st', 'match']"
31,31,League,Sourav Ganguly,Hyderabad,KKR,DCH,Kolkata Knight Riders,bat,KKR,23,runs,204,2008,"['32nd', 'match']"
32,32,League,Shane Watson,Jaipur,DC,RR,Rajasthan Royals,field,RR,3,wicket,156,2008,"['33rd', 'match']"
33,33,League,Shaun Marsh,Mohali,RCB,KXIP,Royal Challengers Bangalore,bat,Kings,9,wicket,143,2008,"['34th', 'match']"
34,34,League,Shoaib Akhtar,Eden Gardens,KKR,DC,Kolkata Knight Riders,bat,KKR,23,runs,133,2008,"['35th', 'match']"
35,35,League,Sanath Jayasuriya,Wankhede,CSK,MI,Mumbai Indians,field,MI,9,wicket,156,2008,"['36th', 'match']"
36,36,League,Amit Mishra,Delhi,DC,DCH,Deccan Chargers,field,Daredevils,12,runs,194,2008,"['37th', 'match']"
37,37,League,Shaun Pollock,Wankhede,KKR,MI,Mumbai Indians,field,MI,8,wicket,67,2008,"['38th', 'match']"
38,38,League,Graeme Smith,Jaipur,RR,RCB,Royal Challengers Bangalore,field,RR,65,runs,197,2008,"['39th', 'match']"
39,39,League,Mahela Jayawardene,Delhi,DC,KXIP,Delhi Daredevils,bat,Kings,6,runs,118,2008,"['40th', 'match']"
40,40,League,Makhaya Ntini,Eden Gardens,KKR,CSK,Kolkata Knight Riders,bat,CSK,3,runs,149,2008,"['41st', 'match']"
41,41,League,Dwayne Bravo,Hyderabad,MI,DCH,Deccan Chargers,field,MI,25,runs,178,2008,"['42nd', 'match']"
42,42,League,Shreevats Goswami,Bengaluru,RCB,DC,Delhi Daredevils,field,Daredevils,5,wicket,154,2008,"['43rd', 'match']"
43,43,League,Yusuf Pathan,Eden Gardens,KKR,RR,Rajasthan Royals,field,RR,6,wicket,147,2008,"['44th', 'match']"
44,44,League,Shaun Marsh,Wankhede,KXIP,MI,Mumbai Indians,field,Kings,1,runs,189,2008,"['45th', 'match']"
45,45,League,Anil Kumble,Chennai,RCB,CSK,Royal Challengers Bangalore,bat,RCB,14,runs,126,2008,"['46th', 'match']"
46,46,,,,,,,,,,,,2008,
47,47,League,Shaun Marsh,Mohali,DCH,KXIP,Kings XI Punjab,field,Kings,6,wicket,175,2008,"['48th', 'match']"
48,48,League,Albie Morkel,Chennai,RR,CSK,Rajasthan Royals,bat,RR,10,runs,211,2008,"['49th', 'match']"
49,49,League,Dinesh Karthik,Delhi,MI,DC,Delhi Daredevils,field,Daredevils,5,wicket,176,2008,"['50th', 'match']"
50,50,League,Vinay Kumar,Hyderabad,DCH,RCB,Deccan Chargers,bat,RCB,5,wicket,165,2008,"['51st', 'match']"
51,51,League,Umar Gul,Eden Gardens,KXIP,KKR,Kings XI Punjab,bat,KKR,3,wicket,174,2008,"['52nd', 'match']"
52,52,League,Sohail Tanvir,Jaipur,MI,RR,Rajasthan Royals,field,RR,5,wicket,145,2008,"['53rd', 'match']"
53,53,League,Suresh Raina,Hyderabad,DCH,CSK,Deccan Chargers,bat,CSK,7,wicket,147,2008,"['54th', 'match']"
54,54,League,Dilhara Fernando,Bengaluru,RCB,MI,Mumbai Indians,field,MI,9,wicket,122,2008,"['55th', 'match']"
55,55,League,Shaun Marsh,Mohali,KXIP,RR,Rajasthan Royals,field,Kings,41,runs,221,2008,"['56th', 'match']"
56,56,Final,Shane Watson,Wankhede,RR,DC,Delhi Daredevils,field,RR,105,runs,192,2008,Final
57,57,Final,Makhaya Ntini,Wankhede,KXIP,CSK,Kings XI Punjab,bat,CSK,9,wicket,112,2008,Final
58,58,Final,Yusuf Pathan,DY Patil,CSK,RR,Rajasthan Royals,field,RR,3,wicket,163,2008,Final
59,0,League,Sachin Tendulkar,Cape Town,MI,CSK,Chennai Super Kings,field,MI,19,runs,165,2009,"['1st', 'match,']"
60,1,League,Rahul Dravid,Cape Town,RCB,RR,Royal Challengers Bangalore,bat,RCB,75,runs,133,2009,"['2nd', 'match']"
61,2,League,Daniel Vettori,Cape Town,KXIP,DC,Delhi Daredevils,field,Daredevils,10,wicket,104,2009,"['3rd', 'match,']"
62,3,League,RP Singh,Cape Town,KKR,DCH,Kolkata Knight Riders,bat,Chargers,8,wicket,101,2009,"['4th', 'match']"
63,4,League,Muthiah Muralidaran,Gqeberha,CSK,RCB,Chennai Super Kings,bat,CSK,92,runs,179,2009,"['5th', 'match']"
64,5,League,Chris Gayle,Durban,KXIP,KKR,Kolkata Knight Riders,field,KKR,11,runs,158,2009,"['6th', 'match,']"
65,6,,,,,,,,,,,,2009,
66,7,League,Adam Gilchrist,Cape Town,DCH,RCB,Deccan Chargers,bat,Chargers,24,runs,184,2009,"['8th', 'match']"
67,8,League,AB de Villiers,Durban,DC,CSK,Delhi Daredevils,bat,Daredevils,9,runs,189,2009,"['9th', 'match,']"
68,9,League,Yusuf Pathan,Cape Town,RR,KKR,Kolkata Knight Riders,field,Match,,runs,,2009,"['10th', 'match']"
69,10,League,Ravi Bopara,Durban,RCB,KXIP,Royal Challengers Bangalore,bat,Kings,7,wicket,168,2009,"['11th', 'match']"
70,11,League,Pragyan Ojha,Durban,DCH,MI,Deccan Chargers,bat,Chargers,12,runs,168,2009,"['12th', 'match,']"
71,12,,,,,,,,,,,,2009,
72,13,League,Tillakaratne Dilshan,Gqeberha,RCB,DC,Royal Challengers Bangalore,bat,Daredevils,6,wicket,149,2009,"['14th', 'match,']"
73,14,League,Kumar Sangakkara,Cape Town,KXIP,RR,Kings XI Punjab,bat,Kings,27,runs,139,2009,"['15th', 'match']"
74,15,League,Herschelle Gibbs,Durban,CSK,DCH,Deccan Chargers,field,Chargers,6,wicket,165,2009,"['16th', 'match,']"
75,16,League,Sachin Tendulkar,Gqeberha,MI,KKR,Mumbai Indians,bat,MI,92,runs,187,2009,"['17th', 'match']"
76,17,League,Yusuf Pathan,Centurion,DC,RR,Delhi Daredevils,bat,RR,5,wicket,143,2009,"['18th', 'match']"
77,18,League,Mark Boucher,Durban,KKR,RCB,Kolkata Knight Riders,bat,RCB,5,wicket,139,2009,"['19th', 'match,']"
78,19,League,Kumar Sangakkara,Durban,KXIP,MI,Kings XI Punjab,bat,Kings,3,runs,119,2009,"['20th', 'match']"
79,20,League,Dirk Nannes,Centurion,DCH,DC,Delhi Daredevils,field,Daredevils,6,wicket,148,2009,"['21st', 'match,']"
80,21,League,Suresh Raina,Centurion,CSK,RR,Rajasthan Royals,field,CSK,38,runs,164,2009,"['22nd', 'match']"
81,22,League,Jean-Paul Duminy,East London,MI,KKR,Mumbai Indians,bat,MI,9,runs,148,2009,"['23rd', 'match,']"
82,23,League,Yuvraj Singh,Durban,RCB,KXIP,Royal Challengers Bangalore,bat,RCB,8,runs,145,2009,"['24th', 'match']"
83,24,League,Yusuf Pathan,Gqeberha,DCH,RR,Deccan Chargers,bat,RR,3,wicket,141,2009,"['25th', 'match,']"
84,25,League,Shadab Jakati,Johannesburg,CSK,DC,Delhi Daredevils,field,CSK,18,runs,163,2009,"['26th', 'match']"
85,26,League,Mahela Jayawardene,Gqeberha,KKR,KXIP,Kolkata Knight Riders,bat,Kings,6,wicket,153,2009,"['27th', 'match,']"
86,27,League,Jacques Kallis,Johannesburg,MI,RCB,Mumbai Indians,bat,RCB,9,wicket,149,2009,"['28th', 'match']"
87,28,League,MS Dhoni,East London,CSK,DCH,Chennai Super Kings,bat,CSK,78,runs,178,2009,"['29th', 'match']"
88,29,League,Graeme Smith,Durban,RR,KXIP,Kings XI Punjab,field,RR,78,runs,211,2009,"['30th', 'match,']"
89,30,League,Gautam Gambhir,Durban,KKR,DC,Kolkata Knight Riders,bat,Daredevils,9,wicket,154,2009,"['31st', 'match']"
90,31,League,Rohit Sharma,Centurion,DCH,MI,Deccan Chargers,bat,Chargers,19,runs,145,2009,"['32nd', 'match']"
91,32,League,Amit Singh,Centurion,RCB,RR,Rajasthan Royals,field,RR,7,wicket,105,2009,"['33rd', 'match,']"
92,33,League,Matthew Hayden,Centurion,CSK,KXIP,Chennai Super Kings,bat,CSK,12,runs,185,2009,"['34th', 'match']"
93,34,League,Ashish Nehra,East London,MI,DC,Mumbai Indians,bat,Daredevils,7,wicket,116,2009,"['35th', 'match']"
94,35,League,Mahela Jayawardene,Kimberley,DCH,KXIP,Kings XI Punjab,field,Kings,3,wicket,168,2009,"['36th', 'match,']"
95,36,League,S Badrinath,Kimberley,RR,CSK,Rajasthan Royals,bat,CSK,7,wicket,140,2009,"['37th', 'match']"
96,37,League,Jean-Paul Duminy,Gqeberha,MI,RCB,Mumbai Indians,bat,MI,16,runs,157,2009,"['38th', 'match,']"
97,38,League,Amit Mishra,Johannesburg,KKR,DC,Delhi Daredevils,field,Daredevils,7,wicket,123,2009,"['39th', 'match']"
98,39,League,Dwayne Smith,Kimberley,DCH,RR,Deccan Chargers,bat,Chargers,53,runs,166,2009,"['40th', 'match']"
99,40,League,Ross Taylor,Centurion,KKR,RCB,Royal Challengers Bangalore,field,RCB,6,wicket,173,2009,"['41st', 'match,']"
100,41,League,Harbhajan Singh,Centurion,KXIP,MI,Kings XI Punjab,bat,MI,8,wicket,119,2009,"['42nd', 'match']"
101,42,League,Rajat Bhatia,Durban,DC,DCH,Deccan Chargers,field,Daredevils,12,runs,173,2009,"['43rd', 'match']"
102,43,League,Ross Taylor,Durban,CSK,RCB,Chennai Super Kings,bat,RCB,2,wicket,129,2009,"['44th', 'match,']"
103,44,League,Shane Warne,Durban,RR,MI,Rajasthan Royals,bat,RR,2,runs,145,2009,"['45th', 'match']"
104,45,League,Brett Lee,Bloemfontein,DC,KXIP,Kings XI Punjab,field,Kings,6,wicket,120,2009,"['46th', 'match']"
105,46,League,Matthew Hayden,Gqeberha,MI,CSK,Mumbai Indians,bat,CSK,7,wicket,147,2009,"['47th', 'match,']"
106,47,League,Rohit Sharma,Johannesburg,KKR,DCH,Deccan Chargers,field,Chargers,6,wicket,160,2009,"['48th', 'match']"
107,48,League,Yuvraj Singh,Johannesburg,KXIP,DCH,Deccan Chargers,field,Kings,1,runs,134,2009,"['49th', 'match,']"
108,49,League,AB de Villiers,Bloemfontein,DC,RR,Delhi Daredevils,bat,Daredevils,14,runs,150,2009,"['50th', 'match']"
109,50,League,Brad Hodge,Centurion,CSK,KKR,Chennai Super Kings,bat,KKR,7,wicket,188,2009,"['51st', 'match']"
110,51,League,Jacques Kallis,Johannesburg,DC,RCB,Delhi Daredevils,bat,RCB,7,wicket,134,2009,"['52nd', 'match']"
111,52,League,Laxmi Shukla,Durban,RR,KKR,Kolkata Knight Riders,field,KKR,4,wicket,101,2009,"['53rd', 'match,']"
112,53,League,Muthiah Muralidaran,Durban,CSK,KXIP,Chennai Super Kings,bat,CSK,24,runs,116,2009,"['54th', 'match']"
113,54,League,Virender Sehwag,Centurion,MI,DC,Delhi Daredevils,field,Daredevils,4,wicket,165,2009,"['55th', 'match,']"
114,55,League,Manish Pandey,Centurion,RCB,DCH,Royal Challengers Bangalore,bat,RCB,12,runs,170,2009,"['56th', 'match']"
115,56,Final,Adam Gilchrist,Centurion,DC,DCH,Deccan Chargers,field,Chargers,6,wicket,153,2009,Final
116,57,Final,Manish Pandey,Johannesburg,CSK,RCB,Royal Challengers Bangalore,field,RCB,6,wicket,146,2009,Final
117,58,Final,Andrew Symonds,Johannesburg,DCH,RCB,Royal Challengers Bangalore,field,Chargers,6,runs,143,2009,Final
118,0,League,Angelo Mathews,DY Patil,KKR,DCH,Deccan Chargers,field,KKR,11,runs,161,2010,"['1st', 'match']"
119,1,League,Yusuf Pathan,Brabourne,MI,RR,Mumbai Indians,bat,MI,4,runs,212,2010,"['2nd', 'match']"
120,2,League,Gautam Gambhir,Mohali,KXIP,DC,Delhi Daredevils,field,Daredevils,5,wicket,142,2010,"['3rd', 'match']"
121,3,League,Manoj Tiwary,Eden Gardens,RCB,KKR,Kolkata Knight Riders,field,KKR,7,wicket,135,2010,"['4th', 'match']"
122,4,League,Chaminda Vaas,Chennai,DCH,CSK,Deccan Chargers,bat,Chargers,31,runs,190,2010,"['5th', 'match']"
123,5,League,Virender Sehwag,Ahmedabad,RR,DC,Delhi Daredevils,field,Daredevils,6,wicket,141,2010,"['6th', 'match']"
124,6,League,Jacques Kallis,Bengaluru,KXIP,RCB,Kings XI Punjab,bat,RCB,8,wicket,203,2010,"['7th', 'match']"
125,7,League,MS Dhoni,Eden Gardens,CSK,KKR,Chennai Super Kings,bat,CSK,55,runs,164,2010,"['8th', 'match']"
126,8,League,Sachin Tendulkar,Delhi,MI,DC,Delhi Daredevils,field,MI,98,runs,218,2010,"['9th', 'match']"
127,9,League,Jacques Kallis,Bengaluru,RR,RCB,Royal Challengers Bangalore,field,RCB,10,wicket,92,2010,"['10th', 'match']"
128,10,League,Matthew Hayden,Delhi,DC,CSK,Delhi Daredevils,bat,CSK,5,wicket,185,2010,"['11th', 'match']"
129,11,League,Andrew Symonds,Cuttack,DCH,KXIP,Kings XI Punjab,field,Chargers,6,runs,170,2010,"['12th', 'match']"
130,12,League,Abhishek Jhunjhunwala,Ahmedabad,RR,KKR,Rajasthan Royals,bat,RR,34,runs,168,2010,"['13th', 'match']"
131,13,League,Jacques Kallis,Brabourne,MI,RCB,Mumbai Indians,bat,RCB,7,wicket,151,2010,"['14th', 'match']"
132,14,League,Andrew Symonds,Cuttack,DCH,DC,Deccan Chargers,bat,Chargers,10,runs,171,2010,"['15th', 'match']"
133,15,League,Rusty Theron,Chennai,KXIP,CSK,Chennai Super Kings,field,Match,,runs,,2010,"['16th', 'match']"
134,16,League,Sachin Tendulkar,Brabourne,KKR,MI,Kolkata Knight Riders,bat,MI,7,wicket,155,2010,"['17th', 'match']"
135,17,League,Robin Uthappa,Bengaluru,RCB,CSK,Chennai Super Kings,field,RCB,36,runs,171,2010,"['18th', 'match']"
136,18,League,Adam Voges,Mohali,RR,KXIP,Kings XI Punjab,field,RR,31,runs,183,2010,"['19th', 'match']"
137,19,League,Kedar Jadhav,Bengaluru,DC,RCB,Royal Challengers Bangalore,field,Daredevils,17,runs,183,2010,"['20th', 'match']"
138,20,League,Sachin Tendulkar,Brabourne,CSK,MI,Mumbai Indians,field,MI,5,wicket,180,2010,"['21st', 'match']"
139,21,League,Yusuf Pathan,Ahmedabad,DCH,RR,Deccan Chargers,bat,RR,8,wicket,148,2010,"['22nd', 'match']"
140,22,League,Manoj Tiwary,Mohali,KKR,KXIP,Kolkata Knight Riders,bat,KKR,39,runs,183,2010,"['23rd', 'match']"
